,dataset,model,correlation,p-value
0,de-semeval,context-free,0.713362758590888,1.2697769909845984e-08
1,en-semeval,context-free,0.3974153836039558,0.014864144147947417
2,ln-semeval,context-free,0.4206576298074859,0.006876130096373644
3,sw-semeval,context-free,0.5346049220035617,0.0019466625301327565
